Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number
grace,25,50000.0,Male,HR,Manager,2018-04-05,D,email@example.com,000-000-0000
david,0,65000.0,Female,Finance,Director,,F,user@domain.com,123-456-7890
hannah,35,60000.0,Female,Sales,Director,,C,email@example.com,098-765-4321
eve,0,50000.0,Female,IT,Manager,2018-04-05,A,name@company.org,
grace,0,60216.08643457383,Female,Finance,Manager,,F,name@company.org,098-765-4321
jack,0,65000.0,Other,Marketing,Director,,F,user@domain.com,000-000-0000
charlie,0,50000.0,Male,Marketing,Clerk,,B,no_email@example.com,123-456-7890
grace,40,50000.0,Other,HR,Director,,C,no_email@example.com,
hannah,40,60000.0,Female,Marketing,Manager,,C,user@domain.com,123-456-7890
eve,30,60216.08643457383,Other,Finance,Assistant,,A,no_email@example.com,
david,25,70000.0,Male,Marketing,Analyst,,B,no_email@example.com,123-456-7890
hannah,0,70000.0,Other,Finance,Assistant,,A,no_email@example.com,000-000-0000
hannah,30,50000.0,Male,IT,Assistant,2018-04-05,D,no_email@example.com,
charlie,25,55000.0,Other,HR,Manager,,F,no_email@example.com,555-555-5555
frank,50,60216.08643457383,Male,Marketing,Director,,A,no_email@example.com,123-456-7890
eve,35,65000.0,Male,Finance,Clerk,2018-04-05,F,no_email@example.com,123-456-7890
bob,40,55000.0,Female,Sales,Assistant,,B,no_email@example.com,098-765-4321
hannah,50,55000.0,Male,HR,Director,2018-04-05,D,user@domain.com,
frank,25,60216.08643457383,Female,IT,Clerk,,B,email@example.com,555-555-5555
bob,50,50000.0,Female,Finance,Assistant,,D,user@domain.com,000-000-0000
eve,35,50000.0,Female,IT,Clerk,,D,email@example.com,098-765-4321
alice,25,50000.0,Other,IT,Director,2018-04-05,F,user@domain.com,555-555-5555
jack,50,50000.0,Other,Marketing,Analyst,2018-04-05,B,email@example.com,
frank,40,70000.0,Other,Marketing,Director,,B,email@example.com,555-555-5555
ivy,40,50000.0,Other,Finance,Manager,2018-04-05,A,name@company.org,123-456-7890
alice,30,70000.0,Male,Sales,Clerk,,B,email@example.com,123-456-7890
jack,50,70000.0,Male,Finance,Analyst,,A,email@example.com,098-765-4321
charlie,0,50000.0,Other,Sales,Clerk,,C,name@company.org,
grace,50,60000.0,Male,IT,Clerk,,C,no_email@example.com,
david,25,65000.0,Male,HR,Assistant,,C,no_email@example.com,555-555-5555
ivy,25,55000.0,Female,Finance,Manager,,B,name@company.org,098-765-4321
charlie,50,70000.0,Female,Finance,Clerk,,B,no_email@example.com,
eve,35,60216.08643457383,Female,Sales,Director,,A,email@example.com,123-456-7890
charlie,40,60216.08643457383,Female,IT,Director,2018-04-05,D,email@example.com,555-555-5555
grace,25,65000.0,Male,IT,Assistant,,A,name@company.org,000-000-0000
eve,40,60216.08643457383,Other,Sales,Manager,,C,name@company.org,123-456-7890
ivy,25,60000.0,Male,IT,Manager,,A,no_email@example.com,098-765-4321
grace,30,60216.08643457383,Male,Marketing,Director,,D,no_email@example.com,
bob,0,55000.0,Male,HR,Analyst,,B,user@domain.com,123-456-7890
david,25,55000.0,Female,Finance,Assistant,,A,no_email@example.com,000-000-0000
ivy,40,70000.0,Female,HR,Assistant,2018-04-05,C,email@example.com,000-000-0000
bob,30,50000.0,Female,Finance,Director,,C,name@company.org,098-765-4321
jack,25,60000.0,Other,Marketing,Director,,B,no_email@example.com,123-456-7890
ivy,35,70000.0,Male,IT,Analyst,,A,no_email@example.com,555-555-5555
jack,0,60000.0,Other,Sales,Analyst,,D,no_email@example.com,123-456-7890
eve,25,50000.0,Female,Marketing,Manager,,B,no_email@example.com,000-000-0000
bob,30,60216.08643457383,Other,HR,Assistant,,A,email@example.com,098-765-4321
david,35,60216.08643457383,Male,Sales,Assistant,,F,user@domain.com,098-765-4321
grace,50,50000.0,Male,IT,Director,,C,no_email@example.com,555-555-5555
hannah,30,70000.0,Female,Marketing,Manager,,D,no_email@example.com,098-765-4321
charlie,30,50000.0,Female,Sales,Assistant,2018-04-05,D,user@domain.com,098-765-4321
alice,35,65000.0,Other,Marketing,Manager,,D,no_email@example.com,098-765-4321
david,30,55000.0,Female,Marketing,Manager,,C,no_email@example.com,098-765-4321
bob,35,70000.0,Female,IT,Director,,A,no_email@example.com,098-765-4321
hannah,25,60000.0,Male,Finance,Manager,,B,no_email@example.com,000-000-0000
david,35,65000.0,Female,Sales,Analyst,,A,user@domain.com,123-456-7890
bob,35,70000.0,Female,IT,Analyst,,B,email@example.com,
frank,0,50000.0,Male,Marketing,Clerk,2018-04-05,D,no_email@example.com,098-765-4321
frank,35,50000.0,Male,IT,Director,2018-04-05,A,email@example.com,
jack,35,50000.0,Other,Finance,Clerk,2018-04-05,D,user@domain.com,
david,50,50000.0,Female,Sales,Analyst,2018-04-05,F,user@domain.com,000-000-0000
frank,25,60000.0,Male,Finance,Clerk,,D,no_email@example.com,098-765-4321
bob,0,65000.0,Other,HR,Director,,D,no_email@example.com,
jack,50,60216.08643457383,Other,Sales,Director,,B,name@company.org,098-765-4321
bob,40,55000.0,Female,Finance,Manager,2018-04-05,F,user@domain.com,555-555-5555
jack,25,60000.0,Female,Marketing,Assistant,,D,no_email@example.com,555-555-5555
david,25,60000.0,Other,Sales,Manager,2018-04-05,D,email@example.com,555-555-5555
hannah,40,60216.08643457383,Male,Sales,Director,,F,no_email@example.com,
grace,35,60216.08643457383,Other,IT,Analyst,,F,email@example.com,555-555-5555
ivy,50,55000.0,Female,Marketing,Analyst,,A,user@domain.com,000-000-0000
hannah,30,55000.0,Male,HR,Manager,,B,user@domain.com,000-000-0000
eve,0,60216.08643457383,Male,Finance,Director,,F,email@example.com,
bob,30,50000.0,Other,IT,Analyst,,F,user@domain.com,098-765-4321
eve,40,60000.0,Female,Finance,Director,,C,no_email@example.com,123-456-7890
hannah,25,70000.0,Other,HR,Analyst,,F,user@domain.com,098-765-4321
jack,25,55000.0,Other,HR,Director,2018-04-05,B,no_email@example.com,098-765-4321
ivy,0,55000.0,Other,Sales,Clerk,2018-04-05,D,no_email@example.com,098-765-4321
ivy,25,60216.08643457383,Male,HR,Director,,D,name@company.org,098-765-4321
alice,25,65000.0,Male,Finance,Director,2018-04-05,D,user@domain.com,123-456-7890
ivy,0,70000.0,Female,Marketing,Manager,,D,user@domain.com,555-555-5555
grace,50,70000.0,Female,Marketing,Clerk,2018-04-05,C,no_email@example.com,098-765-4321
ivy,50,55000.0,Other,Sales,Assistant,,F,no_email@example.com,000-000-0000
hannah,0,50000.0,Other,Finance,Manager,,D,email@example.com,
alice,40,65000.0,Other,Finance,Assistant,,A,email@example.com,
hannah,25,70000.0,Female,HR,Analyst,,D,email@example.com,000-000-0000
hannah,25,55000.0,Male,Finance,Assistant,,F,no_email@example.com,098-765-4321
charlie,40,70000.0,Male,IT,Director,,D,email@example.com,123-456-7890
alice,50,65000.0,Other,HR,Assistant,,C,email@example.com,555-555-5555
hannah,35,65000.0,Other,IT,Manager,,B,name@company.org,
charlie,35,60000.0,Other,Sales,Manager,,B,email@example.com,555-555-5555
charlie,35,60216.08643457383,Other,Marketing,Assistant,,F,user@domain.com,123-456-7890
alice,50,60216.08643457383,Female,Sales,Manager,,B,no_email@example.com,
eve,50,55000.0,Male,Marketing,Manager,,B,no_email@example.com,555-555-5555
jack,40,65000.0,Other,Sales,Assistant,,A,name@company.org,123-456-7890
grace,25,60000.0,Female,Finance,Clerk,,F,no_email@example.com,555-555-5555
jack,40,60000.0,Other,IT,Clerk,,F,no_email@example.com,098-765-4321
ivy,40,70000.0,Other,Marketing,Analyst,,B,user@domain.com,123-456-7890
grace,50,70000.0,Male,HR,Manager,,B,email@example.com,555-555-5555
ivy,35,60000.0,Other,IT,Assistant,2018-04-05,B,user@domain.com,098-765-4321
hannah,30,70000.0,Male,HR,Manager,,C,email@example.com,098-765-4321
bob,25,65000.0,Male,IT,Director,,D,email@example.com,123-456-7890
alice,50,50000.0,Male,IT,Manager,,C,no_email@example.com,000-000-0000
grace,35,65000.0,Female,Sales,Manager,,F,email@example.com,
grace,30,60000.0,Female,Marketing,Clerk,,A,name@company.org,123-456-7890
hannah,30,60000.0,Male,Marketing,Assistant,2018-04-05,D,name@company.org,098-765-4321
eve,50,65000.0,Other,IT,Manager,,A,name@company.org,098-765-4321
charlie,0,70000.0,Male,Finance,Clerk,,F,no_email@example.com,123-456-7890
hannah,25,70000.0,Other,Finance,Analyst,,F,user@domain.com,000-000-0000
frank,30,60216.08643457383,Male,HR,Clerk,,A,no_email@example.com,
charlie,50,60000.0,Other,HR,Clerk,,A,email@example.com,555-555-5555
alice,50,55000.0,Female,Sales,Clerk,,A,no_email@example.com,123-456-7890
charlie,35,60216.08643457383,Other,IT,Manager,,F,user@domain.com,
eve,0,70000.0,Male,HR,Manager,,B,user@domain.com,
charlie,25,65000.0,Female,HR,Analyst,,A,no_email@example.com,098-765-4321
alice,40,70000.0,Other,IT,Director,,D,name@company.org,555-555-5555
eve,35,65000.0,Other,Sales,Director,,F,name@company.org,123-456-7890
jack,30,60216.08643457383,Other,HR,Director,2018-04-05,C,user@domain.com,098-765-4321
grace,30,60000.0,Other,Sales,Analyst,,C,no_email@example.com,098-765-4321
grace,35,70000.0,Other,Marketing,Director,,D,no_email@example.com,000-000-0000
ivy,50,65000.0,Female,Sales,Director,2018-04-05,B,email@example.com,
jack,30,60000.0,Female,Finance,Clerk,,A,name@company.org,123-456-7890
jack,0,55000.0,Female,Finance,Manager,2018-04-05,F,user@domain.com,123-456-7890
charlie,25,65000.0,Female,Sales,Manager,,A,no_email@example.com,123-456-7890
grace,0,60216.08643457383,Male,Finance,Clerk,,F,name@company.org,098-765-4321
alice,30,55000.0,Female,Marketing,Clerk,,C,email@example.com,000-000-0000
david,40,55000.0,Other,IT,Clerk,,A,no_email@example.com,555-555-5555
david,25,50000.0,Other,Finance,Manager,,D,user@domain.com,098-765-4321
eve,25,70000.0,Female,Finance,Director,,B,name@company.org,555-555-5555
grace,35,65000.0,Other,Sales,Clerk,,D,no_email@example.com,000-000-0000
grace,35,55000.0,Female,Marketing,Analyst,,B,email@example.com,
david,40,50000.0,Other,IT,Clerk,,A,email@example.com,123-456-7890
grace,50,60216.08643457383,Male,Sales,Assistant,,A,name@company.org,555-555-5555
charlie,25,60000.0,Male,Sales,Clerk,,B,no_email@example.com,098-765-4321
frank,40,65000.0,Female,Marketing,Manager,,C,email@example.com,555-555-5555
bob,35,55000.0,Female,IT,Clerk,,F,user@domain.com,
jack,35,70000.0,Female,Marketing,Assistant,,D,email@example.com,123-456-7890
ivy,25,50000.0,Other,IT,Analyst,,D,no_email@example.com,555-555-5555
eve,0,55000.0,Female,Marketing,Director,,D,no_email@example.com,
frank,30,70000.0,Male,Sales,Clerk,,A,no_email@example.com,098-765-4321
david,35,55000.0,Other,Sales,Assistant,,D,name@company.org,000-000-0000
jack,50,65000.0,Female,HR,Assistant,,F,no_email@example.com,098-765-4321
grace,50,65000.0,Other,Finance,Analyst,2018-04-05,F,email@example.com,123-456-7890
ivy,35,65000.0,Other,Marketing,Manager,,B,email@example.com,098-765-4321
grace,0,60216.08643457383,Female,HR,Clerk,,A,no_email@example.com,098-765-4321
alice,0,60216.08643457383,Other,Finance,Assistant,,F,no_email@example.com,098-765-4321
alice,40,50000.0,Male,Marketing,Analyst,,C,user@domain.com,098-765-4321
ivy,50,65000.0,Male,IT,Director,2018-04-05,A,no_email@example.com,123-456-7890
ivy,40,70000.0,Other,Finance,Assistant,,A,user@domain.com,
david,50,55000.0,Female,Sales,Analyst,,F,email@example.com,555-555-5555
ivy,30,60000.0,Other,HR,Manager,,C,user@domain.com,000-000-0000
charlie,30,70000.0,Male,Finance,Manager,2018-04-05,B,user@domain.com,555-555-5555
grace,25,60216.08643457383,Other,Finance,Assistant,,F,name@company.org,555-555-5555
frank,40,60216.08643457383,Other,Sales,Assistant,,C,no_email@example.com,000-000-0000
hannah,35,70000.0,Male,Marketing,Clerk,,A,user@domain.com,123-456-7890
ivy,40,60216.08643457383,Other,IT,Analyst,,C,email@example.com,000-000-0000
eve,35,65000.0,Other,Sales,Assistant,,A,no_email@example.com,123-456-7890
alice,0,50000.0,Female,IT,Clerk,,F,user@domain.com,555-555-5555
charlie,40,55000.0,Female,Marketing,Clerk,,F,no_email@example.com,123-456-7890
jack,0,50000.0,Male,Finance,Assistant,,D,name@company.org,
hannah,30,55000.0,Male,IT,Manager,,D,email@example.com,000-000-0000
frank,30,55000.0,Male,HR,Analyst,,D,name@company.org,
hannah,25,50000.0,Female,HR,Analyst,,F,no_email@example.com,555-555-5555
ivy,40,70000.0,Male,Sales,Manager,,B,user@domain.com,000-000-0000
david,0,55000.0,Male,Marketing,Assistant,,F,user@domain.com,555-555-5555
alice,35,50000.0,Male,Sales,Analyst,,C,no_email@example.com,
alice,30,55000.0,Female,Sales,Assistant,,F,user@domain.com,555-555-5555
jack,30,60000.0,Other,Sales,Assistant,2018-04-05,F,email@example.com,000-000-0000
david,35,70000.0,Male,HR,Clerk,,A,no_email@example.com,000-000-0000
grace,0,65000.0,Other,HR,Manager,,A,name@company.org,555-555-5555
bob,0,55000.0,Male,Sales,Assistant,,A,no_email@example.com,000-000-0000
charlie,40,60000.0,Other,HR,Director,,F,user@domain.com,000-000-0000
alice,40,65000.0,Female,Marketing,Manager,,B,name@company.org,555-555-5555
